Lamball,https://static.wikia.nocookie.net/palworld/images/4/47/Lamball.png
Cattiva,https://static.wikia.nocookie.net/palworld/images/5/59/Cattiva.png
Chikipi,https://static.wikia.nocookie.net/palworld/images/e/e9/Chikipi.png
Lifmunk,https://static.wikia.nocookie.net/palworld/images/c/c4/Lifmunk.png
Foxparks,https://static.wikia.nocookie.net/palworld/images/d/dd/Foxparks.png
Fuack,https://static.wikia.nocookie.net/palworld/images/6/6c/Fuack.png
Sparkit,https://static.wikia.nocookie.net/palworld/images/e/ee/Sparkit.png
Tanzee,https://static.wikia.nocookie.net/palworld/images/3/34/Tanzee.png
Rooby,https://static.wikia.nocookie.net/palworld/images/e/e5/Rooby.png
Pengullet,https://static.wikia.nocookie.net/palworld/images/b/b3/Pengullet.png
Penking,https://static.wikia.nocookie.net/palworld/images/5/5c/Penking.png
Jolthog,https://static.wikia.nocookie.net/palworld/images/5/50/Jolthog.png
Jolthog Cryst,https://static.wikia.nocookie.net/palworld/images/d/dc/Jolthog_Cryst.png
Gumoss,https://static.wikia.nocookie.net/palworld/images/f/f3/Gumoss.png
Gumoss (Special),https://static.wikia.nocookie.net/palworld/images/f/f3/Gumoss.png
Vixy,https://static.wikia.nocookie.net/palworld/images/7/79/Vixy.png
Hoocrates,https://static.wikia.nocookie.net/palworld/images/c/c5/Hoocrates.png
Teafant,https://static.wikia.nocookie.net/palworld/images/2/2b/Teafant.png
Depresso,https://static.wikia.nocookie.net/palworld/images/8/8b/Depresso.png
Cremis,https://static.wikia.nocookie.net/palworld/images/9/96/Cremis.png
Daedream,https://static.wikia.nocookie.net/palworld/images/d/d7/Daedream.png
Rushoar,https://static.wikia.nocookie.net/palworld/images/6/6d/Rushoar.png
Nox,https://static.wikia.nocookie.net/palworld/images/2/2e/Nox.png
Fuddler,https://static.wikia.nocookie.net/palworld/images/b/ba/Fuddler.png
Killamari,https://static.wikia.nocookie.net/palworld/images/b/bf/Killamari.png
Mau,https://static.wikia.nocookie.net/palworld/images/2/21/Mau.png
Mau Cryst,https://static.wikia.nocookie.net/palworld/images/b/bf/Mau_Cryst.png
Celaray,https://static.wikia.nocookie.net/palworld/images/a/aa/Celaray.png
Direhowl,https://static.wikia.nocookie.net/palworld/images/1/14/Direhowl.png
Tocotoco,https://static.wikia.nocookie.net/palworld/images/d/d9/Tocotoco.png
Flopie,https://static.wikia.nocookie.net/palworld/images/f/f0/Flopie.png
Mozzarina,https://static.wikia.nocookie.net/palworld/images/9/9d/Mozzarina.png
Bristla,https://static.wikia.nocookie.net/palworld/images/4/40/Bristla.png
Gobfin,https://static.wikia.nocookie.net/palworld/images/f/f9/Gobfin.png
